id,study,source_family,target_family,variant,variant_label,head,seeds_target,seeds_done,status,wall_hours_remaining,priority,paper_table,dependencies,notes
X-o1->o2-V5-tabpfn-zs,Cross-task ICL eval,others-1,others-2,V5,SMPNN-6 alpha=1e-2 (D3),tabpfn-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-others-1-V5,o1->o2: SMPNN-6 alpha=1e-2 (D3) -> tabpfn-zs no-proj
X-o2->o1-V0-tabicl-zs,Cross-task ICL eval,others-2,others-1,V0,Vanilla-4,tabicl-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-others-2-V0,o2->o1: Vanilla-4 -> tabicl-zs no-proj
X-o2->o1-V0-tabpfn-zs,Cross-task ICL eval,others-2,others-1,V0,Vanilla-4,tabpfn-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-others-2-V0,o2->o1: Vanilla-4 -> tabpfn-zs no-proj
X-o2->o1-V2-tabicl-zs,Cross-task ICL eval,others-2,others-1,V2,"SMPNN-6 (D1, default)",tabicl-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-others-2-V2,"o2->o1: SMPNN-6 (D1, default) -> tabicl-zs no-proj"
X-o2->o1-V2-tabpfn-zs,Cross-task ICL eval,others-2,others-1,V2,"SMPNN-6 (D1, default)",tabpfn-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-others-2-V2,"o2->o1: SMPNN-6 (D1, default) -> tabpfn-zs no-proj"
X-o2->o1-V5-tabicl-zs,Cross-task ICL eval,others-2,others-1,V5,SMPNN-6 alpha=1e-2 (D3),tabicl-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-others-2-V5,o2->o1: SMPNN-6 alpha=1e-2 (D3) -> tabicl-zs no-proj
X-o2->o1-V5-tabpfn-zs,Cross-task ICL eval,others-2,others-1,V5,SMPNN-6 alpha=1e-2 (D3),tabpfn-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-others-2-V5,o2->o1: SMPNN-6 alpha=1e-2 (D3) -> tabpfn-zs no-proj
I-commerce-1-V0-tabicl-zs,In-dist ICL eval,commerce-1,commerce-1,V0,Vanilla-4,tabicl-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-commerce-1-V0,Vanilla-4 embedding -> tabicl-zs no-proj on commerce-1
I-commerce-1-V0-tabpfn-zs,In-dist ICL eval,commerce-1,commerce-1,V0,Vanilla-4,tabpfn-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-commerce-1-V0,Vanilla-4 embedding -> tabpfn-zs no-proj on commerce-1
I-commerce-1-V2-tabicl-zs,In-dist ICL eval,commerce-1,commerce-1,V2,"SMPNN-6 (D1, default)",tabicl-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-commerce-1-V2,"SMPNN-6 (D1, default) embedding -> tabicl-zs no-proj on commerce-1"
I-commerce-1-V2-tabpfn-zs,In-dist ICL eval,commerce-1,commerce-1,V2,"SMPNN-6 (D1, default)",tabpfn-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-commerce-1-V2,"SMPNN-6 (D1, default) embedding -> tabpfn-zs no-proj on commerce-1"
I-commerce-1-V5-tabicl-zs,In-dist ICL eval,commerce-1,commerce-1,V5,SMPNN-6 alpha=1e-2 (D3),tabicl-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-commerce-1-V5,SMPNN-6 alpha=1e-2 (D3) embedding -> tabicl-zs no-proj on commerce-1
I-commerce-1-V5-tabpfn-zs,In-dist ICL eval,commerce-1,commerce-1,V5,SMPNN-6 alpha=1e-2 (D3),tabpfn-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-commerce-1-V5,SMPNN-6 alpha=1e-2 (D3) embedding -> tabpfn-zs no-proj on commerce-1
I-commerce-2-V0-tabicl-zs,In-dist ICL eval,commerce-2,commerce-2,V0,Vanilla-4,tabicl-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-commerce-2-V0,Vanilla-4 embedding -> tabicl-zs no-proj on commerce-2
I-commerce-2-V0-tabpfn-zs,In-dist ICL eval,commerce-2,commerce-2,V0,Vanilla-4,tabpfn-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-commerce-2-V0,Vanilla-4 embedding -> tabpfn-zs no-proj on commerce-2
I-commerce-2-V2-tabicl-zs,In-dist ICL eval,commerce-2,commerce-2,V2,"SMPNN-6 (D1, default)",tabicl-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-commerce-2-V2,"SMPNN-6 (D1, default) embedding -> tabicl-zs no-proj on commerce-2"
I-commerce-2-V2-tabpfn-zs,In-dist ICL eval,commerce-2,commerce-2,V2,"SMPNN-6 (D1, default)",tabpfn-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-commerce-2-V2,"SMPNN-6 (D1, default) embedding -> tabpfn-zs no-proj on commerce-2"
I-commerce-2-V5-tabicl-zs,In-dist ICL eval,commerce-2,commerce-2,V5,SMPNN-6 alpha=1e-2 (D3),tabicl-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-commerce-2-V5,SMPNN-6 alpha=1e-2 (D3) embedding -> tabicl-zs no-proj on commerce-2
I-commerce-2-V5-tabpfn-zs,In-dist ICL eval,commerce-2,commerce-2,V5,SMPNN-6 alpha=1e-2 (D3),tabpfn-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-commerce-2-V5,SMPNN-6 alpha=1e-2 (D3) embedding -> tabpfn-zs no-proj on commerce-2
I-others-2-V0-tabicl-zs,In-dist ICL eval,others-2,others-2,V0,Vanilla-4,tabicl-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-others-2-V0,Vanilla-4 embedding -> tabicl-zs no-proj on others-2
I-others-2-V0-tabpfn-zs,In-dist ICL eval,others-2,others-2,V0,Vanilla-4,tabpfn-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-others-2-V0,Vanilla-4 embedding -> tabpfn-zs no-proj on others-2
I-others-2-V2-tabicl-zs,In-dist ICL eval,others-2,others-2,V2,"SMPNN-6 (D1, default)",tabicl-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-others-2-V2,"SMPNN-6 (D1, default) embedding -> tabicl-zs no-proj on others-2"
I-others-2-V2-tabpfn-zs,In-dist ICL eval,others-2,others-2,V2,"SMPNN-6 (D1, default)",tabpfn-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-others-2-V2,"SMPNN-6 (D1, default) embedding -> tabpfn-zs no-proj on others-2"
I-others-2-V5-tabicl-zs,In-dist ICL eval,others-2,others-2,V5,SMPNN-6 alpha=1e-2 (D3),tabicl-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-others-2-V5,SMPNN-6 alpha=1e-2 (D3) embedding -> tabicl-zs no-proj on others-2
I-others-2-V5-tabpfn-zs,In-dist ICL eval,others-2,others-2,V5,SMPNN-6 alpha=1e-2 (D3),tabpfn-zs,3,0,TODO,0.3,P0,T1 in-dist ablation,requires backbone B-others-2-V5,SMPNN-6 alpha=1e-2 (D3) embedding -> tabpfn-zs no-proj on others-2
B-others-1-V0,Backbone Training,others-1,—,V0,Vanilla-4,native (training-only),3,1,PARTIAL (1/3),7.0,P1,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,Vanilla-4 on others-1; params=11.4M
B-others-1-V2,Backbone Training,others-1,—,V2,"SMPNN-6 (D1, default)",native (training-only),3,1,PARTIAL (1/3),7.0,P1,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,"SMPNN-6 (D1, default) on others-1; params=17.2M"
B-others-1-V5,Backbone Training,others-1,—,V5,SMPNN-6 alpha=1e-2 (D3),native (training-only),3,1,PARTIAL (1/3),7.0,P1,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 alpha=1e-2 (D3) on others-1; params=17.2M
D-c1-avito-collapse,Constant-feature diagnostic on c1->avito,commerce-1,"commerce-2 (specifically avito-user-clicks, avito-user-visits)","V0, V2, V5",all 3 anchors,tabpfn-zs,1,0,TODO,0.5,P1,S1 failure-mode case study,requires B-commerce-1-V0/V2/V5,Does any SMPNN variant avoid the constant-feature TabPFN error?
I-others-1-V0-tabicl-zs,In-dist ICL eval,others-1,others-1,V0,Vanilla-4,tabicl-zs,3,1,PARTIAL (1/3),0.2,P1,T1 in-dist ablation,requires backbone B-others-1-V0,Vanilla-4 embedding -> tabicl-zs no-proj on others-1
I-others-1-V0-tabpfn-zs,In-dist ICL eval,others-1,others-1,V0,Vanilla-4,tabpfn-zs,3,1,PARTIAL (1/3),0.2,P1,T1 in-dist ablation,requires backbone B-others-1-V0,Vanilla-4 embedding -> tabpfn-zs no-proj on others-1
I-others-1-V2-tabicl-zs,In-dist ICL eval,others-1,others-1,V2,"SMPNN-6 (D1, default)",tabicl-zs,3,1,PARTIAL (1/3),0.2,P1,T1 in-dist ablation,requires backbone B-others-1-V2,"SMPNN-6 (D1, default) embedding -> tabicl-zs no-proj on others-1"
I-others-1-V2-tabpfn-zs,In-dist ICL eval,others-1,others-1,V2,"SMPNN-6 (D1, default)",tabpfn-zs,3,1,PARTIAL (1/3),0.2,P1,T1 in-dist ablation,requires backbone B-others-1-V2,"SMPNN-6 (D1, default) embedding -> tabpfn-zs no-proj on others-1"
I-others-1-V5-tabicl-zs,In-dist ICL eval,others-1,others-1,V5,SMPNN-6 alpha=1e-2 (D3),tabicl-zs,3,1,PARTIAL (1/3),0.2,P1,T1 in-dist ablation,requires backbone B-others-1-V5,SMPNN-6 alpha=1e-2 (D3) embedding -> tabicl-zs no-proj on others-1
I-others-1-V5-tabpfn-zs,In-dist ICL eval,others-1,others-1,V5,SMPNN-6 alpha=1e-2 (D3),tabpfn-zs,3,1,PARTIAL (1/3),0.2,P1,T1 in-dist ablation,requires backbone B-others-1-V5,SMPNN-6 alpha=1e-2 (D3) embedding -> tabpfn-zs no-proj on others-1
H-others-1-V0-hop3-tabicl-zs,Hop=3 ICL eval,others-1,others-1,V0-hop3,Vanilla-4 @ hop=3,tabicl-zs,3,0,TODO,0.30000000000000004,P2,T3 hop=3 with/without attention,requires backbone H-others-1-V0-hop3,Vanilla-4 @ hop=3 -> tabicl-zs no-proj
H-others-1-V0-hop3-tabpfn-zs,Hop=3 ICL eval,others-1,others-1,V0-hop3,Vanilla-4 @ hop=3,tabpfn-zs,3,0,TODO,0.30000000000000004,P2,T3 hop=3 with/without attention,requires backbone H-others-1-V0-hop3,Vanilla-4 @ hop=3 -> tabpfn-zs no-proj
H-others-1-V2-hop3-tabicl-zs,Hop=3 ICL eval,others-1,others-1,V2-hop3,SMPNN-6 @ hop=3,tabicl-zs,3,0,TODO,0.30000000000000004,P2,T3 hop=3 with/without attention,requires backbone H-others-1-V2-hop3,SMPNN-6 @ hop=3 -> tabicl-zs no-proj
H-others-1-V2-hop3-tabpfn-zs,Hop=3 ICL eval,others-1,others-1,V2-hop3,SMPNN-6 @ hop=3,tabpfn-zs,3,0,TODO,0.30000000000000004,P2,T3 hop=3 with/without attention,requires backbone H-others-1-V2-hop3,SMPNN-6 @ hop=3 -> tabpfn-zs no-proj
H-others-1-V7-hop3-tabicl-zs,Hop=3 ICL eval,others-1,others-1,V7-hop3,SMPNN-6+attn @ hop=3,tabicl-zs,3,0,TODO,0.30000000000000004,P2,T3 hop=3 with/without attention,requires backbone H-others-1-V7-hop3,SMPNN-6+attn @ hop=3 -> tabicl-zs no-proj
H-others-1-V7-hop3-tabpfn-zs,Hop=3 ICL eval,others-1,others-1,V7-hop3,SMPNN-6+attn @ hop=3,tabpfn-zs,3,0,TODO,0.30000000000000004,P2,T3 hop=3 with/without attention,requires backbone H-others-1-V7-hop3,SMPNN-6+attn @ hop=3 -> tabpfn-zs no-proj
H-others-1-V0-hop3,Hop=3 backbone (apples-to-apples),others-1,—,V0-hop3,Vanilla-4 @ hop=3,native,3,1,PARTIAL or TODO,15.75,P2,T3 hop=3 with/without attention,—,"exists (bs=64, fanout=8 -- regime confound)"
H-others-1-V2-hop3,Hop=3 backbone (apples-to-apples),others-1,—,V2-hop3,SMPNN-6 @ hop=3,native,3,1,PARTIAL or TODO,15.75,P2,T3 hop=3 with/without attention,—,"1 seed, 0.486 (likely undertrained)"
H-others-1-V7-hop3,Hop=3 backbone (apples-to-apples),others-1,—,V7-hop3,SMPNN-6+attn @ hop=3,native,3,0,PARTIAL or TODO,15.75,P2,T3 hop=3 with/without attention,—,not yet trained
B-others-1-V1,Backbone Training,others-1,—,V1,SMPNN-4 (parity),native (training-only),1,1,DONE,0.0,P3,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-4 (parity) on others-1; params=13.0M
B-others-1-V3,Backbone Training,others-1,—,V3,SMPNN-8,native (training-only),1,1,DONE,0.0,P3,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-8 on others-1; params=23.0M
B-others-1-V4,Backbone Training,others-1,—,V4,Vanilla-6 (C3),native (training-only),1,1,DONE,0.0,P3,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,Vanilla-6 (C3) on others-1; params=16.4M
B-others-1-V6,Backbone Training,others-1,—,V6,SMPNN-6 alpha=1e-4 (D2),native (training-only),1,1,DONE,0.0,P3,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 alpha=1e-4 (D2) on others-1; params=17.2M
B-others-1-V7,Backbone Training,others-1,—,V7,SMPNN-6 + attention (B1),native (training-only),1,1,DONE,0.0,P3,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 + attention (B1) on others-1; params=21.9M
B-others-1-V8a,Backbone Training,others-1,—,V8a,SMPNN-6 no-alpha (A2),native (training-only),1,1,DONE,0.0,P3,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 no-alpha (A2) on others-1; params=17.2M
B-others-1-V8b,Backbone Training,others-1,—,V8b,SMPNN-6 no-FF (A3),native (training-only),1,1,DONE,0.0,P3,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 no-FF (A3) on others-1; params=14.0M
B-others-1-V8c,Backbone Training,others-1,—,V8c,SMPNN-6 no-GNN-LN (A4),native (training-only),1,1,DONE,0.0,P3,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 no-GNN-LN (A4) on others-1; params=17.2M
I-others-1-V1-tabicl-zs,In-dist ICL eval,others-1,others-1,V1,SMPNN-4 (parity),tabicl-zs,1,1,DONE,0.0,P3,T1 in-dist ablation,requires backbone B-others-1-V1,SMPNN-4 (parity) embedding -> tabicl-zs no-proj on others-1
I-others-1-V1-tabpfn-zs,In-dist ICL eval,others-1,others-1,V1,SMPNN-4 (parity),tabpfn-zs,1,1,DONE,0.0,P3,T1 in-dist ablation,requires backbone B-others-1-V1,SMPNN-4 (parity) embedding -> tabpfn-zs no-proj on others-1
I-others-1-V3-tabicl-zs,In-dist ICL eval,others-1,others-1,V3,SMPNN-8,tabicl-zs,1,1,DONE,0.0,P3,T1 in-dist ablation,requires backbone B-others-1-V3,SMPNN-8 embedding -> tabicl-zs no-proj on others-1
I-others-1-V3-tabpfn-zs,In-dist ICL eval,others-1,others-1,V3,SMPNN-8,tabpfn-zs,1,1,DONE,0.0,P3,T1 in-dist ablation,requires backbone B-others-1-V3,SMPNN-8 embedding -> tabpfn-zs no-proj on others-1
I-others-1-V4-tabicl-zs,In-dist ICL eval,others-1,others-1,V4,Vanilla-6 (C3),tabicl-zs,1,1,DONE,0.0,P3,T1 in-dist ablation,requires backbone B-others-1-V4,Vanilla-6 (C3) embedding -> tabicl-zs no-proj on others-1
I-others-1-V4-tabpfn-zs,In-dist ICL eval,others-1,others-1,V4,Vanilla-6 (C3),tabpfn-zs,1,1,DONE,0.0,P3,T1 in-dist ablation,requires backbone B-others-1-V4,Vanilla-6 (C3) embedding -> tabpfn-zs no-proj on others-1
I-others-1-V6-tabicl-zs,In-dist ICL eval,others-1,others-1,V6,SMPNN-6 alpha=1e-4 (D2),tabicl-zs,1,1,DONE,0.0,P3,T1 in-dist ablation,requires backbone B-others-1-V6,SMPNN-6 alpha=1e-4 (D2) embedding -> tabicl-zs no-proj on others-1
I-others-1-V6-tabpfn-zs,In-dist ICL eval,others-1,others-1,V6,SMPNN-6 alpha=1e-4 (D2),tabpfn-zs,1,1,DONE,0.0,P3,T1 in-dist ablation,requires backbone B-others-1-V6,SMPNN-6 alpha=1e-4 (D2) embedding -> tabpfn-zs no-proj on others-1
I-others-1-V7-tabicl-zs,In-dist ICL eval,others-1,others-1,V7,SMPNN-6 + attention (B1),tabicl-zs,1,1,DONE,0.0,P3,T1 in-dist ablation,requires backbone B-others-1-V7,SMPNN-6 + attention (B1) embedding -> tabicl-zs no-proj on others-1
I-others-1-V7-tabpfn-zs,In-dist ICL eval,others-1,others-1,V7,SMPNN-6 + attention (B1),tabpfn-zs,1,1,DONE,0.0,P3,T1 in-dist ablation,requires backbone B-others-1-V7,SMPNN-6 + attention (B1) embedding -> tabpfn-zs no-proj on others-1
I-others-1-V8a-tabicl-zs,In-dist ICL eval,others-1,others-1,V8a,SMPNN-6 no-alpha (A2),tabicl-zs,1,1,DONE,0.0,P3,T1 in-dist ablation,requires backbone B-others-1-V8a,SMPNN-6 no-alpha (A2) embedding -> tabicl-zs no-proj on others-1
I-others-1-V8a-tabpfn-zs,In-dist ICL eval,others-1,others-1,V8a,SMPNN-6 no-alpha (A2),tabpfn-zs,1,1,DONE,0.0,P3,T1 in-dist ablation,requires backbone B-others-1-V8a,SMPNN-6 no-alpha (A2) embedding -> tabpfn-zs no-proj on others-1
I-others-1-V8b-tabicl-zs,In-dist ICL eval,others-1,others-1,V8b,SMPNN-6 no-FF (A3),tabicl-zs,1,1,DONE,0.0,P3,T1 in-dist ablation,requires backbone B-others-1-V8b,SMPNN-6 no-FF (A3) embedding -> tabicl-zs no-proj on others-1
I-others-1-V8b-tabpfn-zs,In-dist ICL eval,others-1,others-1,V8b,SMPNN-6 no-FF (A3),tabpfn-zs,1,1,DONE,0.0,P3,T1 in-dist ablation,requires backbone B-others-1-V8b,SMPNN-6 no-FF (A3) embedding -> tabpfn-zs no-proj on others-1
I-others-1-V8c-tabicl-zs,In-dist ICL eval,others-1,others-1,V8c,SMPNN-6 no-GNN-LN (A4),tabicl-zs,1,1,DONE,0.0,P3,T1 in-dist ablation,requires backbone B-others-1-V8c,SMPNN-6 no-GNN-LN (A4) embedding -> tabicl-zs no-proj on others-1
I-others-1-V8c-tabpfn-zs,In-dist ICL eval,others-1,others-1,V8c,SMPNN-6 no-GNN-LN (A4),tabpfn-zs,1,1,DONE,0.0,P3,T1 in-dist ablation,requires backbone B-others-1-V8c,SMPNN-6 no-GNN-LN (A4) embedding -> tabpfn-zs no-proj on others-1
D-multi-dataset,Multi-dataset validation (out of scope for v1),OGB-LSC or custom RDB,—,"V0, V5",Headline anchors on a 2nd RDB benchmark,all,3,0,DEFER,60.0,P3,T5 (optional) cross-benchmark validation,—,Recommended for ICLR-main strength; skippable for workshop
D-alpha-traj-V2-V5,Alpha-trajectory logging,others-1,—,"V2, V5",SMPNN-6 default vs alpha=1e-2,native (logged during training),1,1,DONE (already logging via --log_alpha_every 2),0.0,DONE,F2 alpha self-pruning figure,comes free with B-others-1-V2 / V5,Final per-layer alpha_gnn[i] / alpha_ff[i] for the figure
D-kv-cache-ab,Inference latency / KV cache A/B,—,all RelBench (others-2 used in prior work),"V0, V5",TabPFN with vs without fit_with_cache,tabpfn-zs,1,1,DONE (others-2),0.0,DONE,T4 / F4 KV-cache speedup,results in prior Griffin_Head_Comparison_Report.docx,25% wall-time saving at 2 predicts; 70% at 10 predicts; 0 accuracy delta
D-llm-ft-baseline,LLM-FT baseline comparison,all 4,all 4 (in-dist + cross-task),Qwen3-1.7B LoRA r=16,Griffin + LLM FT recipe,llm,1,1,DONE (from prior project work),0.0,DONE,"T1, T2 (LLM-FT column)",results in prior Griffin_Head_Comparison_Report.docx,Used as the third baseline alongside vanilla-4 and TabPFN ZS
D-compute-cost,Parameter count + peak GPU memory,—,—,all 11,params + peak memory per variant,—,1,1,DONE (collected via [Params] logs + nvidia-smi snapshots),0.0,DONE,"T1 also shows params, F3 memory scaling",—,Already printed by hmaintask_combine.py construction-time log line
